"Id","CH_num","DU_num","area","CH_den","DU_den","PHI"
19490,54.10282381,2.51330899,4126699773,0.0131104337087912,0.000609036064713012,0.088784198626862
19491,493.19084866,5.18221223,3546806122,0.139052102566547,0.00146109261452324,0.0207965182578109
19492,34370.17772562,14413.39527704,9912105974,3.46749498197203,1.45412037712744,0.590911833221158
19493,0,0,20375.4028,0,0,0
19494,479.80836012,0,411998371.4,1.16458800186413,0,0
19495,6004.51567462,21007.33235936,3383555624,1.77461710161618,6.20865583244805,0.444583848322153
19496,8643.75296165,0,4827070474,1.79068298426712,0,0
19497,5179.54311945,0,4269070727,1.21327179863563,0,0
19498,208522.1713257,1337.40279437,8674867909,24.0375039151158,0.154169816578126,0.0127456924467483
19499,0,0,8891204040,0,0,0
19500,796.98166246,6.07310328,4126699773,0.193128094191503,0.00147166104007247,0.0151250040198785
19501,633112.04589845,18217.39674161,2167991054,292.027056444879,8.4028929492114,0.0559391163641204
19502,242741.19446565,7797.62951757,9915584733,24.4807745586384,0.786401380003214,0.0622468757025239
19503,20391.97176076,8111.03609471,8519968706,2.39343270667173,0.952003038344258,0.569135449552452
19504,415.65571474,6.50702666,3399414276,0.12227274494743,0.00191416112650343,0.0308271006504318
19505,2392.13619037,5.65107598,4963525632,0.481942950983838,0.00113852055957309,0.00471357576988229
19506,6985.91969684,4996.60513873,4269070727,1.63640289505094,1.17041985440266,0.833982020867193
19507,720.26292613,0,522131382.8,1.37946683508563,0,0
19508,935.95036413,0,705551064.6,1.32655226685913,0,0
19509,3374.37593081,0,2382498569,1.41631813538772,0,0
19510,29.28273106,54.99596787,21826415.2,1.34161889580475,2.51969768585727,0.694902304657588
19511,4101.64367676,49.50871849,339886301.7,12.0676933911279,0.145662588466713,0.0238529997340743
19512,61.75271637,2.86894606,3983251417,0.0155030928016362,0.000720252316425649,0.0887920846390395
19513,18205072.5626831,341562.66787768,9679803789,1880.72743616674,35.2861148142101,0.0368328447323816
19514,271.05711861,0,4410328460,0.0614596216740737,0,0
19515,3861.62930298,13.39589983,365752694.4,10.5580337810356,0.0366255670432595,0.00691396784737597
19516,1645.04602336,0,1509323973,1.08992241081962,0,0
19517,11.9200173,0.14105542,9264827161,0.00128658819995876,1.52248301612974e-05,0.0233901947653625
19518,5258.42026144,0,3838539444,1.36990132266568,0,0
19519,757.02955249,7.85751708,3983251417,0.190053168439003,0.00197263899699254,0.0205455612798299
19520,5.12196903,0,9598318848,0.000533631890241619,0,0
19521,126660.58810427,208.07416268,9832818763,12.8814118471178,0.0211611916882841,0.00328015065284104
19522,4789.84474179,0,3546806122,1.35046703344728,0,0
19523,125220.47083283,208.41318307,9767322938,12.8203471542501,0.0213377999676005,0.00332320876017023
19524,1831.01879594,830.62758682,9871631379,0.185482897977242,0.0841428893492722,0.624145710865377
19525,3525.2119456,0,4550437573,0.774697353616459,0,0
19526,926.05653501,0,4550437573,0.2035093373228,0,0
19527,77.88031523,5256.64382559,7622439968,0.0102172421897649,0.68962744838373,0.0291985988531034
19528,949.65464858,5.68632405,4410328460,0.215325152580586,0.00128931985487539,0.0119042817442362
19529,2058.37465098,3.80123252,4827070474,0.42642316122522,0.000787482291894129,0.0036866229989545
19530,80.98276815,2.4534033,709621646.9,0.114121050990729,0.00345733999338627,0.0588091053883083
19531,645.9955382,4.1186685,3693267781,0.174911643700281,0.00111518274444882,0.0126705998963059
19532,1898921.3211671,3081.52103035,9877712966,192.243014926974,0.311967055628857,0.00324029066832487
19533,3.92233253,0,480808378.7,0.00815778739256817,0,0
19534,2816.03746323,0,1882798051,1.49566623023342,0,0
19535,87.42325878,0,69818881.53,1.25214350135981,0,0
19536,144966.84539031,5542.30731249,1603752051,90.3923055312183,3.45583801999453,0.0736474455269046
19537,114646.81887814,0,9498129736,12.0704625083824,0,0
19538,2864.88122753,0,4689363090,0.610931841392132,0,0
19539,372.36437893,0,343274771.8,1.08474146520429,0,0
19540,12.78550865,0,2663224297,0.00480076299409039,0,0
19541,91072.17556005,0,9319077450,9.77266001368515,0,0
19542,31969.09023191,46.10296631,7817853796,4.08924125036298,0.00589713846191247,0.00288006797426199
19543,464.23631285,4.45818114,3693267781,0.125697983568444,0.00120711018110712,0.0190238255288535
19544,0,0,14958190.11,0,0,0
19545,0,0,8749130174,0,0,0
19546,1068.29838312,1270.36282624,4269070727,0.250241434596874,0.297573619056136,0.913598240603949
19547,218239.68725584,197.62780263,9756928247,22.3676634419181,0.0202551251405139,0.00180946925278869
19548,4129.54966741,8418.88263317,3399414276,1.21478270435139,2.47656859377442,0.658177781653112
19549,1400152.04125979,5065.92733479,1719922112,814.07874896825,2.94543997047583,0.00721016589313406
19550,0,0,9469103908,0,0,0
