,English_name,scientific_name,order,family,category
14483,,Xiphocolaptes promeropirhynchus sclateri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14484,,Xiphocolaptes promeropirhynchus emigrans,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14485,,Xiphocolaptes promeropirhynchus costaricensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14486,,Xiphocolaptes promeropirhynchus panamensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14487,Strong billed Woodcreeper (Andean/Northern),Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14488,,Xiphocolaptes promeropirhynchus sanctaemartae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14489,,Xiphocolaptes promeropirhynchus rostratus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14490,,Xiphocolaptes promeropirhynchus fortis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14491,,Xiphocolaptes promeropirhynchus virgatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14492,,Xiphocolaptes promeropirhynchus promeropirhynchus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14493,,Xiphocolaptes promeropirhynchus procerus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14494,,Xiphocolaptes promeropirhynchus macarenae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14495,,Xiphocolaptes promeropirhynchus neblinae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14496,,Xiphocolaptes promeropirhynchus tenebrosus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14497,,Xiphocolaptes promeropirhynchus ignotus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14498,,Xiphocolaptes promeropirhynchus crassirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14499,,Xiphocolaptes promeropirhynchus compressirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14500,,Xiphocolaptes promeropirhynchus phaeopygus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14501,,Xiphocolaptes promeropirhynchus lineatocephalus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14502,Strong billed Woodcreeper (Amazonian),Xiphocolaptes promeropirhynchus [orenocensis Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14503,,Xiphocolaptes promeropirhynchus solivagus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14504,,Xiphocolaptes promeropirhynchus orenocensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14505,,Xiphocolaptes promeropirhynchus berlepschi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14506,,Xiphocolaptes promeropirhynchus paraensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14507,,Xiphocolaptes promeropirhynchus obsoletus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14508,Strong billed Woodcreeper (Carajas),Xiphocolaptes promeropirhynchus carajaensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14509,Moustached Woodcreeper,Xiphocolaptes falcirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14510,,Xiphocolaptes falcirostris falcirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14511,,Xiphocolaptes falcirostris franciscanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14512,White throated Woodcreeper,Xiphocolaptes albicollis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14513,,Xiphocolaptes albicollis villanovae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14514,,Xiphocolaptes albicollis bahiae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14515,,Xiphocolaptes albicollis albicollis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14516,Great Rufous Woodcreeper,Xiphocolaptes major,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14517,,Xiphocolaptes major castaneus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14518,,Xiphocolaptes major remoratus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14519,,Xiphocolaptes major major,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14520,,Xiphocolaptes major estebani,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14521,Striped Woodcreeper,Xiphorhynchus obsoletus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14522,,Xiphorhynchus obsoletus notatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14523,,Xiphorhynchus obsoletus caicarae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14524,,Xiphorhynchus obsoletus palliatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14525,,Xiphorhynchus obsoletus obsoletus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14526,Ceara Woodcreeper,Xiphorhynchus atlanticus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14527,Lesser Woodcreeper,Xiphorhynchus fuscus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14528,,Xiphorhynchus fuscus pintoi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14529,,Xiphorhynchus fuscus tenuirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14530,,Xiphorhynchus fuscus fuscus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14531,Chestnut rumped Woodcreeper,Xiphorhynchus pardalotus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14532,,Xiphorhynchus pardalotus caurensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14533,,Xiphorhynchus pardalotus pardalotus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14534,Ocellated Woodcreeper,Xiphorhynchus ocellatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14535,Ocellated Woodcreeper (Tschudi's),Xiphorhynchus ocellatus [chunchotambo Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14536,,Xiphorhynchus ocellatus napensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14537,,Xiphorhynchus ocellatus chunchotambo,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14538,,Xiphorhynchus ocellatus brevirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14539,Ocellated Woodcreeper (Line crowned),Xiphorhynchus ocellatus beauperthuysii/lineatocapilla,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14540,,Xiphorhynchus ocellatus lineatocapilla,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14541,,Xiphorhynchus ocellatus beauperthuysii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14542,Ocellated Woodcreeper (Ocellated),Xiphorhynchus ocellatus ocellatus/perplexus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14543,,Xiphorhynchus ocellatus perplexus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14544,,Xiphorhynchus ocellatus ocellatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14545,Elegant Woodcreeper,Xiphorhynchus elegans,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14546,,Xiphorhynchus elegans buenavistae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14547,,Xiphorhynchus elegans ornatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14548,,Xiphorhynchus elegans insignis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14549,,Xiphorhynchus elegans elegans,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14550,,Xiphorhynchus elegans juruanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14551,Spix's Woodcreeper,Xiphorhynchus spixii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14552,Cocoa Woodcreeper,Xiphorhynchus susurrans,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14553,Cocoa Woodcreeper (Lawrence's),Xiphorhynchus susurrans [nana Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14554,,Xiphorhynchus susurrans confinis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14555,,Xiphorhynchus susurrans costaricensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14556,,Xiphorhynchus susurrans marginatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14557,,Xiphorhynchus susurrans nana,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14558,,Xiphorhynchus susurrans rosenbergi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14559,Cocoa Woodcreeper (Cocoa),Xiphorhynchus susurrans [susurrans Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14560,,Xiphorhynchus susurrans jardinei,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14561,,Xiphorhynchus susurrans margaritae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14562,,Xiphorhynchus susurrans susurrans,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14563,Buff throated Woodcreeper,Xiphorhynchus guttatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14564,Buff throated Woodcreeper (Buff throated),Xiphorhynchus guttatus [guttatus Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14565,,Xiphorhynchus guttatus polystictus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14566,,Xiphorhynchus guttatus connectens,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14567,,Xiphorhynchus guttatus guttatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14568,Buff throated Woodcreeper (Lafresnaye's),Xiphorhynchus guttatus guttatoides/dorbignyanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14569,,Xiphorhynchus guttatus guttatoides,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14570,,Xiphorhynchus guttatus dorbignyanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14571,Buff throated Woodcreeper (Dusky billed),Xiphorhynchus guttatus [eytoni Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14572,,Xiphorhynchus guttatus eytoni,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14573,,Xiphorhynchus guttatus vicinalis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14574,,Xiphorhynchus guttatus gracilirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14575,Ivory billed Woodcreeper,Xiphorhynchus flavigaster,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14576,,Xiphorhynchus flavigaster tardus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14577,,Xiphorhynchus flavigaster mentalis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14578,,Xiphorhynchus flavigaster flavigaster,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14579,,Xiphorhynchus flavigaster saltuarius,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14580,,Xiphorhynchus flavigaster ascensor,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14581,,Xiphorhynchus flavigaster yucatanensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14582,,Xiphorhynchus flavigaster eburneirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14583,,Xiphorhynchus flavigaster ultimus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14584,Black striped Woodcreeper,Xiphorhynchus lachrymosus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14585,,Xiphorhynchus lachrymosus lachrymosus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14586,,Xiphorhynchus lachrymosus eximius,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14587,,Xiphorhynchus lachrymosus alarum,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14588,Spotted Woodcreeper,Xiphorhynchus erythropygius,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14589,Spotted Woodcreeper (Spotted),Xiphorhynchus erythropygius erythropygius/parvus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14590,,Xiphorhynchus erythropygius erythropygius,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14591,,Xiphorhynchus erythropygius parvus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14592,Spotted Woodcreeper (Berlepsch's),Xiphorhynchus erythropygius [aequatorialis Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14593,,Xiphorhynchus erythropygius punctigula,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14594,,Xiphorhynchus erythropygius insolitus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14595,,Xiphorhynchus erythropygius aequatorialis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14596,Olive backed Woodcreeper,Xiphorhynchus triangularis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14597,,Xiphorhynchus triangularis hylodromus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14598,,Xiphorhynchus triangularis triangularis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14599,,Xiphorhynchus triangularis intermedius,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14600,,Xiphorhynchus triangularis bangsi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14601,Xiphorhynchus sp.,Xiphorhynchus sp.,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),spuh
14602,Straight billed Woodcreeper,Dendroplex picus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14603,,Dendroplex picus extimus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14604,,Dendroplex picus dugandi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14605,,Dendroplex picus picirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14606,,Dendroplex picus paraguanae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14607,,Dendroplex picus choicus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14608,,Dendroplex picus longirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14609,,Dendroplex picus phalarus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14610,,Dendroplex picus saturatior,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14611,,Dendroplex picus duidae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14612,,Dendroplex picus altirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14613,,Dendroplex picus deltanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14614,,Dendroplex picus picus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14615,,Dendroplex picus peruvianus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14616,Zimmer's Woodcreeper,Dendroplex kienerii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14617,Straight billed/Zimmer's Woodcreeper,Dendroplex picus/kienerii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),slash
14618,Red billed Scythebill,Campylorhamphus trochilirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14619,,Campylorhamphus trochilirostris brevipennis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14620,,Campylorhamphus trochilirostris venezuelensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14621,,Campylorhamphus trochilirostris thoracicus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14622,,Campylorhamphus trochilirostris zarumillanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14623,,Campylorhamphus trochilirostris napensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14624,,Campylorhamphus trochilirostris notabilis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14625,,Campylorhamphus trochilirostris snethlageae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14626,,Campylorhamphus trochilirostris devius,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14627,,Campylorhamphus trochilirostris lafresnayanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14628,,Campylorhamphus trochilirostris hellmayri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14629,,Campylorhamphus trochilirostris major,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14630,,Campylorhamphus trochilirostris trochilirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14631,Black billed Scythebill,Campylorhamphus falcularius,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14632,Curve billed Scythebill,Campylorhamphus procurvoides,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14633,Curve billed Scythebill (Zimmer's),Campylorhamphus procurvoides sanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14634,Curve billed Scythebill (Curve billed),Campylorhamphus procurvoides procurvoides,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14635,Curve billed Scythebill (Tupana),Campylorhamphus procurvoides gyldenstolpei,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14636,Tapajos Scythebill,Campylorhamphus probatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14637,Tapajos Scythebill (Rondonia),Campylorhamphus probatus probatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14638,Tapajos Scythebill (Tapajos),Campylorhamphus probatus cardosoi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14639,Xingu Scythebill,Campylorhamphus multostriatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14640,Brown billed Scythebill,Campylorhamphus pusillus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14641,,Campylorhamphus pusillus borealis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14642,,Campylorhamphus pusillus olivaceus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14643,,Campylorhamphus pusillus tachirensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14644,,Campylorhamphus pusillus pusillus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14645,,Campylorhamphus pusillus guapiensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14646,scythebill sp.,Campylorhamphus sp.,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),spuh
14647,Greater Scythebill,Drymotoxeres pucheranii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14648,Scimitar billed Woodcreeper,Drymornis bridgesii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14649,Streak headed Woodcreeper,Lepidocolaptes souleyetii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14650,,Lepidocolaptes souleyetii guerrerensis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14651,,Lepidocolaptes souleyetii compressus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14652,,Lepidocolaptes souleyetii lineaticeps,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14653,,Lepidocolaptes souleyetii littoralis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14654,,Lepidocolaptes souleyetii uaireni,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14655,,Lepidocolaptes souleyetii esmeraldae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14656,,Lepidocolaptes souleyetii souleyetii,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14657,Narrow billed Woodcreeper,Lepidocolaptes angustirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14658,,Lepidocolaptes angustirostris griseiceps,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14659,,Lepidocolaptes angustirostris coronatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14660,,Lepidocolaptes angustirostris bahiae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14661,,Lepidocolaptes angustirostris bivittatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14662,,Lepidocolaptes angustirostris hellmayri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14663,,Lepidocolaptes angustirostris certhiolus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14664,,Lepidocolaptes angustirostris angustirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14665,,Lepidocolaptes angustirostris praedatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14666,White striped Woodcreeper,Lepidocolaptes leucogaster,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14667,,Lepidocolaptes leucogaster umbrosus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14668,,Lepidocolaptes leucogaster leucogaster,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14669,Spot crowned Woodcreeper,Lepidocolaptes affinis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14670,Spot crowned Woodcreeper (Northern),Lepidocolaptes affinis affinis/lignicida,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14671,,Lepidocolaptes affinis lignicida,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14672,,Lepidocolaptes affinis affinis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14673,Spot crowned Woodcreeper (Southern),Lepidocolaptes affinis neglectus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14674,Montane Woodcreeper,Lepidocolaptes lacrymiger,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14675,,Lepidocolaptes lacrymiger sanctaemartae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14676,,Lepidocolaptes lacrymiger lacrymiger,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14677,,Lepidocolaptes lacrymiger lafresnayi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14678,,Lepidocolaptes lacrymiger sneiderni,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14679,,Lepidocolaptes lacrymiger frigidus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14680,,Lepidocolaptes lacrymiger aequatorialis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14681,,Lepidocolaptes lacrymiger warscewiczi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14682,,Lepidocolaptes lacrymiger carabayae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14683,,Lepidocolaptes lacrymiger bolivianus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14684,Scaled Woodcreeper,Lepidocolaptes squamatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14685,Scaled Woodcreeper (Wagler's),Lepidocolaptes squamatus wagleri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14686,Scaled Woodcreeper (Scaled),Lepidocolaptes squamatus squamatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14687,Scalloped Woodcreeper,Lepidocolaptes falcinellus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14688,Duida Woodcreeper,Lepidocolaptes duidae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14689,Guianan Woodcreeper,Lepidocolaptes albolineatus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14690,Inambari Woodcreeper,Lepidocolaptes fatimalimae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14691,Duida/Inambari Woodcreeper,Lepidocolaptes duidae/fatimalimae,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),slash
14692,Dusky capped Woodcreeper,Lepidocolaptes fuscicapillus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14693,Dusky capped Woodcreeper (Rondonia),Lepidocolaptes fuscicapillus fuscicapillus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14694,Dusky capped Woodcreeper (Layard's),Lepidocolaptes fuscicapillus layardi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (monotypic)
14695,Lepidocolaptes sp.,Lepidocolaptes sp.,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),spuh
14696,woodcreeper sp.,Dendrocolaptinae sp.,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),spuh
14697,Slender billed Xenops,Xenops tenuirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14698,,Xenops tenuirostris acutirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14699,,Xenops tenuirostris hellmayri,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14700,,Xenops tenuirostris tenuirostris,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14701,Plain Xenops,Xenops minutus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),species
14702,Plain Xenops (mexicanus Group),Xenops minutus [mexicanus Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14703,,Xenops minutus mexicanus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14704,,Xenops minutus ridgwayi,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14705,,Xenops minutus littoralis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14706,,Xenops minutus neglectus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14707,,Xenops minutus olivaceus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14708,Plain Xenops (genibarbis Group),Xenops minutus [genibarbis Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),group (polytypic)
14709,,Xenops minutus remoratus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14710,,Xenops minutus ruficaudus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
14711,,Xenops minutus obsoletus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),subspecies
