id,neigh1,neigh2,neigh3,neigh4,neigh5,neigh6,neigh7,neigh8
20367,4977,5362,13206,14665,16113,16387,22104,22123
20368,6136,,,,,,,
20369,3585,4305,9109,12293,16217,21252,21470,21837
20370,5311,17580,17722,19318,20682,21417,,
20371,4150,5758,19501,21946,,,,
20372,21,,,,,,,
20373,167,706,2098,2825,4837,7587,9554,18403
20374,834,3556,8052,9038,12835,16925,18653,21947
20375,4998,14030,15051,15390,19878,,,
20376,2858,11986,17374,18608,19517,20296,21537,21742
20377,393,1064,4038,6188,19479,,,
20378,3870,6884,10952,11152,13408,15191,,
20379,3696,8417,12840,14503,15458,19778,20674,21421
20380,529,3531,4847,11654,15882,16290,18716,20561
20381,16643,17114,18665,19583,20108,21315,21883,22109
20382,1845,10386,14053,19202,,,,
20383,9833,12831,18103,21503,,,,
20384,16455,21702,,,,,,
20385,2159,3296,10494,11331,14393,14741,15630,20548
20386,2692,3400,12491,13037,17622,18526,18894,21039
20387,1913,2624,5948,9540,11472,15153,18984,20850
20388,7275,14199,14439,14640,15177,15709,17696,20585
20389,2578,2664,3117,9551,10662,11457,19550,21130
20390,1125,3187,,,,,,
20391,4339,8305,16683,18835,20989,21121,21703,22005
20392,6236,9030,12032,12397,13233,16931,20571,21257
20393,4417,4558,6387,11276,11417,17125,19355,19969
20394,703,1295,7546,8432,8878,13919,17585,19519
20395,4137,10236,11270,14501,14769,15522,16037,16655
20396,6888,9160,9759,17730,19702,20401,21433,21573
20397,4367,5675,16779,17147,19827,,,
20398,33,3168,4920,5136,5409,10540,12096,20898
20399,7219,9152,9350,10811,11459,14089,19183,19910
20400,823,4729,7181,9170,9873,,,
20401,3355,4590,6888,7456,10804,13215,20396,21573
20402,927,3883,10630,17401,19509,20550,20625,
20403,2159,7257,7689,13993,15630,20548,21220,21746
20404,4555,15542,17309,20327,21589,,,
20405,1091,4572,5027,9120,12304,12639,17153,20240
20406,5422,8317,8573,11705,13710,14165,16012,16604
20407,970,14317,14825,15084,18096,19136,21841,22059
20408,5623,17025,17049,19858,20882,21648,21708,22036
20409,1932,1982,1998,3428,10390,12360,20497,22067
20410,7259,9345,13667,15812,18315,18789,19883,22087
20411,426,15113,15535,16901,18270,19014,20695,21781
20412,686,5401,8177,10144,19077,21747,21975,22048
20413,1766,10651,10719,13641,16682,19578,19585,20441
20414,2089,3890,6393,9243,16886,19949,20730,
20415,8187,10400,11390,13007,14002,16485,16805,18147
20416,11922,,,,,,,
20417,6294,7256,12203,15194,16135,20680,20864,21232
